size_hidden,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch,loss_per_epoch
4,"tensor(1.4333, grad_fn=<UnbindBackward0>)","tensor(1.4326, grad_fn=<UnbindBackward0>)","tensor(1.4312, grad_fn=<UnbindBackward0>)","tensor(1.4291, grad_fn=<UnbindBackward0>)","tensor(1.4263, grad_fn=<UnbindBackward0>)","tensor(1.4229, grad_fn=<UnbindBackward0>)","tensor(1.4190, grad_fn=<UnbindBackward0>)","tensor(1.4147, grad_fn=<UnbindBackward0>)","tensor(1.4100, grad_fn=<UnbindBackward0>)","tensor(1.4050, grad_fn=<UnbindBackward0>)","tensor(1.3999, grad_fn=<UnbindBackward0>)","tensor(1.3947, grad_fn=<UnbindBackward0>)","tensor(1.3895, grad_fn=<UnbindBackward0>)","tensor(1.3845, grad_fn=<UnbindBackward0>)","tensor(1.3799, grad_fn=<UnbindBackward0>)","tensor(1.3756, grad_fn=<UnbindBackward0>)","tensor(1.3717, grad_fn=<UnbindBackward0>)","tensor(1.3685, grad_fn=<UnbindBackward0>)","tensor(1.3659, grad_fn=<UnbindBackward0>)","tensor(1.3640, grad_fn=<UnbindBackward0>)","tensor(1.3629, grad_fn=<UnbindBackward0>)","tensor(1.3624, grad_fn=<UnbindBackward0>)","tensor(1.3627, grad_fn=<UnbindBackward0>)","tensor(1.3637, grad_fn=<UnbindBackward0>)","tensor(1.3653, grad_fn=<UnbindBackward0>)","tensor(1.3674, grad_fn=<UnbindBackward0>)","tensor(1.3699, grad_fn=<UnbindBackward0>)","tensor(1.3728, grad_fn=<UnbindBackward0>)","tensor(1.3760, grad_fn=<UnbindBackward0>)","tensor(1.3792, grad_fn=<UnbindBackward0>)","tensor(1.3824, grad_fn=<UnbindBackward0>)","tensor(1.3855, grad_fn=<UnbindBackward0>)","tensor(1.3884, grad_fn=<UnbindBackward0>)","tensor(1.3910, grad_fn=<UnbindBackward0>)","tensor(1.3931, grad_fn=<UnbindBackward0>)","tensor(1.3948, grad_fn=<UnbindBackward0>)","tensor(1.3960, grad_fn=<UnbindBackward0>)","tensor(1.3966, grad_fn=<UnbindBackward0>)","tensor(1.3967, grad_fn=<UnbindBackward0>)","tensor(1.3962, grad_fn=<UnbindBackward0>)","tensor(1.3952, grad_fn=<UnbindBackward0>)","tensor(1.3937, grad_fn=<UnbindBackward0>)","tensor(1.3917, grad_fn=<UnbindBackward0>)","tensor(1.3893, grad_fn=<UnbindBackward0>)","tensor(1.3867, grad_fn=<UnbindBackward0>)","tensor(1.3837, grad_fn=<UnbindBackward0>)","tensor(1.3807, grad_fn=<UnbindBackward0>)","tensor(1.3775, grad_fn=<UnbindBackward0>)","tensor(1.3743, grad_fn=<UnbindBackward0>)","tensor(1.3712, grad_fn=<UnbindBackward0>)","tensor(1.3683, grad_fn=<UnbindBackward0>)","tensor(1.3655, grad_fn=<UnbindBackward0>)","tensor(1.3630, grad_fn=<UnbindBackward0>)","tensor(1.3608, grad_fn=<UnbindBackward0>)","tensor(1.3589, grad_fn=<UnbindBackward0>)","tensor(1.3573, grad_fn=<UnbindBackward0>)","tensor(1.3562, grad_fn=<UnbindBackward0>)","tensor(1.3554, grad_fn=<UnbindBackward0>)","tensor(1.3549, grad_fn=<UnbindBackward0>)","tensor(1.3549, grad_fn=<UnbindBackward0>)","tensor(1.3552, grad_fn=<UnbindBackward0>)","tensor(1.3558, grad_fn=<UnbindBackward0>)","tensor(1.3567, grad_fn=<UnbindBackward0>)","tensor(1.3580, grad_fn=<UnbindBackward0>)","tensor(1.3594, grad_fn=<UnbindBackward0>)","tensor(1.3611, grad_fn=<UnbindBackward0>)","tensor(1.3629, grad_fn=<UnbindBackward0>)","tensor(1.3649, grad_fn=<UnbindBackward0>)","tensor(1.3670, grad_fn=<UnbindBackward0>)","tensor(1.3692, grad_fn=<UnbindBackward0>)","tensor(1.3713, grad_fn=<UnbindBackward0>)","tensor(1.3734, grad_fn=<UnbindBackward0>)","tensor(1.3755, grad_fn=<UnbindBackward0>)","tensor(1.3774, grad_fn=<UnbindBackward0>)","tensor(1.3791, grad_fn=<UnbindBackward0>)","tensor(1.3807, grad_fn=<UnbindBackward0>)","tensor(1.3820, grad_fn=<UnbindBackward0>)","tensor(1.3831, grad_fn=<UnbindBackward0>)","tensor(1.3839, grad_fn=<UnbindBackward0>)","tensor(1.3844, grad_fn=<UnbindBackward0>)","tensor(1.3846, grad_fn=<UnbindBackward0>)","tensor(1.3844, grad_fn=<UnbindBackward0>)","tensor(1.3839, grad_fn=<UnbindBackward0>)","tensor(1.3830, grad_fn=<UnbindBackward0>)","tensor(1.3819, grad_fn=<UnbindBackward0>)","tensor(1.3804, grad_fn=<UnbindBackward0>)","tensor(1.3787, grad_fn=<UnbindBackward0>)","tensor(1.3768, grad_fn=<UnbindBackward0>)","tensor(1.3746, grad_fn=<UnbindBackward0>)","tensor(1.3723, grad_fn=<UnbindBackward0>)","tensor(1.3698, grad_fn=<UnbindBackward0>)","tensor(1.3673, grad_fn=<UnbindBackward0>)","tensor(1.3648, grad_fn=<UnbindBackward0>)","tensor(1.3623, grad_fn=<UnbindBackward0>)","tensor(1.3598, grad_fn=<UnbindBackward0>)","tensor(1.3575, grad_fn=<UnbindBackward0>)","tensor(1.3553, grad_fn=<UnbindBackward0>)","tensor(1.3533, grad_fn=<UnbindBackward0>)","tensor(1.3515, grad_fn=<UnbindBackward0>)","tensor(1.3499, grad_fn=<UnbindBackward0>)"
8,"tensor(1.4246, grad_fn=<UnbindBackward0>)","tensor(1.4237, grad_fn=<UnbindBackward0>)","tensor(1.4220, grad_fn=<UnbindBackward0>)","tensor(1.4196, grad_fn=<UnbindBackward0>)","tensor(1.4165, grad_fn=<UnbindBackward0>)","tensor(1.4129, grad_fn=<UnbindBackward0>)","tensor(1.4088, grad_fn=<UnbindBackward0>)","tensor(1.4046, grad_fn=<UnbindBackward0>)","tensor(1.4002, grad_fn=<UnbindBackward0>)","tensor(1.3960, grad_fn=<UnbindBackward0>)","tensor(1.3919, grad_fn=<UnbindBackward0>)","tensor(1.3882, grad_fn=<UnbindBackward0>)","tensor(1.3849, grad_fn=<UnbindBackward0>)","tensor(1.3822, grad_fn=<UnbindBackward0>)","tensor(1.3801, grad_fn=<UnbindBackward0>)","tensor(1.3785, grad_fn=<UnbindBackward0>)","tensor(1.3775, grad_fn=<UnbindBackward0>)","tensor(1.3769, grad_fn=<UnbindBackward0>)","tensor(1.3766, grad_fn=<UnbindBackward0>)","tensor(1.3764, grad_fn=<UnbindBackward0>)","tensor(1.3763, grad_fn=<UnbindBackward0>)","tensor(1.3763, grad_fn=<UnbindBackward0>)","tensor(1.3768, grad_fn=<UnbindBackward0>)","tensor(1.3777, grad_fn=<UnbindBackward0>)","tensor(1.3788, grad_fn=<UnbindBackward0>)","tensor(1.3798, grad_fn=<UnbindBackward0>)","tensor(1.3804, grad_fn=<UnbindBackward0>)","tensor(1.3805, grad_fn=<UnbindBackward0>)","tensor(1.3800, grad_fn=<UnbindBackward0>)","tensor(1.3788, grad_fn=<UnbindBackward0>)","tensor(1.3771, grad_fn=<UnbindBackward0>)","tensor(1.3748, grad_fn=<UnbindBackward0>)","tensor(1.3720, grad_fn=<UnbindBackward0>)","tensor(1.3689, grad_fn=<UnbindBackward0>)","tensor(1.3656, grad_fn=<UnbindBackward0>)","tensor(1.3623, grad_fn=<UnbindBackward0>)","tensor(1.3591, grad_fn=<UnbindBackward0>)","tensor(1.3561, grad_fn=<UnbindBackward0>)","tensor(1.3534, grad_fn=<UnbindBackward0>)","tensor(1.3512, grad_fn=<UnbindBackward0>)","tensor(1.3493, grad_fn=<UnbindBackward0>)","tensor(1.3479, grad_fn=<UnbindBackward0>)","tensor(1.3469, grad_fn=<UnbindBackward0>)","tensor(1.3464, grad_fn=<UnbindBackward0>)","tensor(1.3463, grad_fn=<UnbindBackward0>)","tensor(1.3466, grad_fn=<UnbindBackward0>)","tensor(1.3474, grad_fn=<UnbindBackward0>)","tensor(1.3484, grad_fn=<UnbindBackward0>)","tensor(1.3497, grad_fn=<UnbindBackward0>)","tensor(1.3511, grad_fn=<UnbindBackward0>)","tensor(1.3526, grad_fn=<UnbindBackward0>)","tensor(1.3541, grad_fn=<UnbindBackward0>)","tensor(1.3555, grad_fn=<UnbindBackward0>)","tensor(1.3567, grad_fn=<UnbindBackward0>)","tensor(1.3577, grad_fn=<UnbindBackward0>)","tensor(1.3583, grad_fn=<UnbindBackward0>)","tensor(1.3586, grad_fn=<UnbindBackward0>)","tensor(1.3584, grad_fn=<UnbindBackward0>)","tensor(1.3579, grad_fn=<UnbindBackward0>)","tensor(1.3569, grad_fn=<UnbindBackward0>)","tensor(1.3555, grad_fn=<UnbindBackward0>)","tensor(1.3537, grad_fn=<UnbindBackward0>)","tensor(1.3515, grad_fn=<UnbindBackward0>)","tensor(1.3491, grad_fn=<UnbindBackward0>)","tensor(1.3466, grad_fn=<UnbindBackward0>)","tensor(1.3439, grad_fn=<UnbindBackward0>)","tensor(1.3412, grad_fn=<UnbindBackward0>)","tensor(1.3386, grad_fn=<UnbindBackward0>)","tensor(1.3362, grad_fn=<UnbindBackward0>)","tensor(1.3340, grad_fn=<UnbindBackward0>)","tensor(1.3320, grad_fn=<UnbindBackward0>)","tensor(1.3303, grad_fn=<UnbindBackward0>)","tensor(1.3289, grad_fn=<UnbindBackward0>)","tensor(1.3278, grad_fn=<UnbindBackward0>)","tensor(1.3269, grad_fn=<UnbindBackward0>)","tensor(1.3261, grad_fn=<UnbindBackward0>)","tensor(1.3254, grad_fn=<UnbindBackward0>)","tensor(1.3246, grad_fn=<UnbindBackward0>)","tensor(1.3237, grad_fn=<UnbindBackward0>)","tensor(1.3225, grad_fn=<UnbindBackward0>)","tensor(1.3210, grad_fn=<UnbindBackward0>)","tensor(1.3191, grad_fn=<UnbindBackward0>)","tensor(1.3168, grad_fn=<UnbindBackward0>)","tensor(1.3143, grad_fn=<UnbindBackward0>)","tensor(1.3118, grad_fn=<UnbindBackward0>)","tensor(1.3097, grad_fn=<UnbindBackward0>)","tensor(1.3082, grad_fn=<UnbindBackward0>)","tensor(1.3081, grad_fn=<UnbindBackward0>)","tensor(1.3096, grad_fn=<UnbindBackward0>)","tensor(1.3131, grad_fn=<UnbindBackward0>)","tensor(1.3176, grad_fn=<UnbindBackward0>)","tensor(1.3215, grad_fn=<UnbindBackward0>)","tensor(1.3229, grad_fn=<UnbindBackward0>)","tensor(1.3207, grad_fn=<UnbindBackward0>)","tensor(1.3143, grad_fn=<UnbindBackward0>)","tensor(1.3039, grad_fn=<UnbindBackward0>)","tensor(1.2912, grad_fn=<UnbindBackward0>)","tensor(1.2799, grad_fn=<UnbindBackward0>)","tensor(1.2724, grad_fn=<UnbindBackward0>)","tensor(1.2685, grad_fn=<UnbindBackward0>)"
16,"tensor(1.4354, grad_fn=<UnbindBackward0>)","tensor(1.4325, grad_fn=<UnbindBackward0>)","tensor(1.4270, grad_fn=<UnbindBackward0>)","tensor(1.4194, grad_fn=<UnbindBackward0>)","tensor(1.4104, grad_fn=<UnbindBackward0>)","tensor(1.4007, grad_fn=<UnbindBackward0>)","tensor(1.3914, grad_fn=<UnbindBackward0>)","tensor(1.3833, grad_fn=<UnbindBackward0>)","tensor(1.3772, grad_fn=<UnbindBackward0>)","tensor(1.3734, grad_fn=<UnbindBackward0>)","tensor(1.3720, grad_fn=<UnbindBackward0>)","tensor(1.3729, grad_fn=<UnbindBackward0>)","tensor(1.3755, grad_fn=<UnbindBackward0>)","tensor(1.3794, grad_fn=<UnbindBackward0>)","tensor(1.3841, grad_fn=<UnbindBackward0>)","tensor(1.3888, grad_fn=<UnbindBackward0>)","tensor(1.3929, grad_fn=<UnbindBackward0>)","tensor(1.3958, grad_fn=<UnbindBackward0>)","tensor(1.3971, grad_fn=<UnbindBackward0>)","tensor(1.3965, grad_fn=<UnbindBackward0>)","tensor(1.3941, grad_fn=<UnbindBackward0>)","tensor(1.3902, grad_fn=<UnbindBackward0>)","tensor(1.3852, grad_fn=<UnbindBackward0>)","tensor(1.3796, grad_fn=<UnbindBackward0>)","tensor(1.3739, grad_fn=<UnbindBackward0>)","tensor(1.3686, grad_fn=<UnbindBackward0>)","tensor(1.3642, grad_fn=<UnbindBackward0>)","tensor(1.3608, grad_fn=<UnbindBackward0>)","tensor(1.3588, grad_fn=<UnbindBackward0>)","tensor(1.3582, grad_fn=<UnbindBackward0>)","tensor(1.3590, grad_fn=<UnbindBackward0>)","tensor(1.3611, grad_fn=<UnbindBackward0>)","tensor(1.3642, grad_fn=<UnbindBackward0>)","tensor(1.3682, grad_fn=<UnbindBackward0>)","tensor(1.3726, grad_fn=<UnbindBackward0>)","tensor(1.3770, grad_fn=<UnbindBackward0>)","tensor(1.3812, grad_fn=<UnbindBackward0>)","tensor(1.3848, grad_fn=<UnbindBackward0>)","tensor(1.3873, grad_fn=<UnbindBackward0>)","tensor(1.3886, grad_fn=<UnbindBackward0>)","tensor(1.3885, grad_fn=<UnbindBackward0>)","tensor(1.3870, grad_fn=<UnbindBackward0>)","tensor(1.3842, grad_fn=<UnbindBackward0>)","tensor(1.3805, grad_fn=<UnbindBackward0>)","tensor(1.3761, grad_fn=<UnbindBackward0>)","tensor(1.3716, grad_fn=<UnbindBackward0>)","tensor(1.3674, grad_fn=<UnbindBackward0>)","tensor(1.3639, grad_fn=<UnbindBackward0>)","tensor(1.3615, grad_fn=<UnbindBackward0>)","tensor(1.3605, grad_fn=<UnbindBackward0>)","tensor(1.3607, grad_fn=<UnbindBackward0>)","tensor(1.3622, grad_fn=<UnbindBackward0>)","tensor(1.3646, grad_fn=<UnbindBackward0>)","tensor(1.3676, grad_fn=<UnbindBackward0>)","tensor(1.3706, grad_fn=<UnbindBackward0>)","tensor(1.3734, grad_fn=<UnbindBackward0>)","tensor(1.3756, grad_fn=<UnbindBackward0>)","tensor(1.3771, grad_fn=<UnbindBackward0>)","tensor(1.3778, grad_fn=<UnbindBackward0>)","tensor(1.3776, grad_fn=<UnbindBackward0>)","tensor(1.3769, grad_fn=<UnbindBackward0>)","tensor(1.3757, grad_fn=<UnbindBackward0>)","tensor(1.3743, grad_fn=<UnbindBackward0>)","tensor(1.3727, grad_fn=<UnbindBackward0>)","tensor(1.3709, grad_fn=<UnbindBackward0>)","tensor(1.3684, grad_fn=<UnbindBackward0>)","tensor(1.3613, grad_fn=<UnbindBackward0>)","tensor(1.3580, grad_fn=<UnbindBackward0>)","tensor(1.3563, grad_fn=<UnbindBackward0>)","tensor(1.3547, grad_fn=<UnbindBackward0>)","tensor(1.3533, grad_fn=<UnbindBackward0>)","tensor(1.3519, grad_fn=<UnbindBackward0>)","tensor(1.3507, grad_fn=<UnbindBackward0>)","tensor(1.3497, grad_fn=<UnbindBackward0>)","tensor(1.3489, grad_fn=<UnbindBackward0>)","tensor(1.3485, grad_fn=<UnbindBackward0>)","tensor(1.3484, grad_fn=<UnbindBackward0>)","tensor(1.3487, grad_fn=<UnbindBackward0>)","tensor(1.3491, grad_fn=<UnbindBackward0>)","tensor(1.3497, grad_fn=<UnbindBackward0>)","tensor(1.3502, grad_fn=<UnbindBackward0>)","tensor(1.3505, grad_fn=<UnbindBackward0>)","tensor(1.3506, grad_fn=<UnbindBackward0>)","tensor(1.3502, grad_fn=<UnbindBackward0>)","tensor(1.3495, grad_fn=<UnbindBackward0>)","tensor(1.3484, grad_fn=<UnbindBackward0>)","tensor(1.3469, grad_fn=<UnbindBackward0>)","tensor(1.3452, grad_fn=<UnbindBackward0>)","tensor(1.3432, grad_fn=<UnbindBackward0>)","tensor(1.3411, grad_fn=<UnbindBackward0>)","tensor(1.3389, grad_fn=<UnbindBackward0>)","tensor(1.3367, grad_fn=<UnbindBackward0>)","tensor(1.3345, grad_fn=<UnbindBackward0>)","tensor(1.3324, grad_fn=<UnbindBackward0>)","tensor(1.3303, grad_fn=<UnbindBackward0>)","tensor(1.3284, grad_fn=<UnbindBackward0>)","tensor(1.3267, grad_fn=<UnbindBackward0>)","tensor(1.3253, grad_fn=<UnbindBackward0>)","tensor(1.3242, grad_fn=<UnbindBackward0>)","tensor(1.3236, grad_fn=<UnbindBackward0>)"
32,"tensor(1.4163, grad_fn=<UnbindBackward0>)","tensor(1.4126, grad_fn=<UnbindBackward0>)","tensor(1.4058, grad_fn=<UnbindBackward0>)","tensor(1.3971, grad_fn=<UnbindBackward0>)","tensor(1.3880, grad_fn=<UnbindBackward0>)","tensor(1.3800, grad_fn=<UnbindBackward0>)","tensor(1.3745, grad_fn=<UnbindBackward0>)","tensor(1.3722, grad_fn=<UnbindBackward0>)","tensor(1.3732, grad_fn=<UnbindBackward0>)","tensor(1.3768, grad_fn=<UnbindBackward0>)","tensor(1.3818, grad_fn=<UnbindBackward0>)","tensor(1.3871, grad_fn=<UnbindBackward0>)","tensor(1.3910, grad_fn=<UnbindBackward0>)","tensor(1.3927, grad_fn=<UnbindBackward0>)","tensor(1.3914, grad_fn=<UnbindBackward0>)","tensor(1.3873, grad_fn=<UnbindBackward0>)","tensor(1.3810, grad_fn=<UnbindBackward0>)","tensor(1.3736, grad_fn=<UnbindBackward0>)","tensor(1.3664, grad_fn=<UnbindBackward0>)","tensor(1.3605, grad_fn=<UnbindBackward0>)","tensor(1.3567, grad_fn=<UnbindBackward0>)","tensor(1.3555, grad_fn=<UnbindBackward0>)","tensor(1.3570, grad_fn=<UnbindBackward0>)","tensor(1.3609, grad_fn=<UnbindBackward0>)","tensor(1.3663, grad_fn=<UnbindBackward0>)","tensor(1.3723, grad_fn=<UnbindBackward0>)","tensor(1.3777, grad_fn=<UnbindBackward0>)","tensor(1.3816, grad_fn=<UnbindBackward0>)","tensor(1.3830, grad_fn=<UnbindBackward0>)","tensor(1.3817, grad_fn=<UnbindBackward0>)","tensor(1.3778, grad_fn=<UnbindBackward0>)","tensor(1.3719, grad_fn=<UnbindBackward0>)","tensor(1.3651, grad_fn=<UnbindBackward0>)","tensor(1.3588, grad_fn=<UnbindBackward0>)","tensor(1.3540, grad_fn=<UnbindBackward0>)","tensor(1.3517, grad_fn=<UnbindBackward0>)","tensor(1.3520, grad_fn=<UnbindBackward0>)","tensor(1.3546, grad_fn=<UnbindBackward0>)","tensor(1.3587, grad_fn=<UnbindBackward0>)","tensor(1.3630, grad_fn=<UnbindBackward0>)","tensor(1.3667, grad_fn=<UnbindBackward0>)","tensor(1.3691, grad_fn=<UnbindBackward0>)","tensor(1.3698, grad_fn=<UnbindBackward0>)","tensor(1.3690, grad_fn=<UnbindBackward0>)","tensor(1.3659, grad_fn=<UnbindBackward0>)","tensor(1.3605, grad_fn=<UnbindBackward0>)","tensor(1.3574, grad_fn=<UnbindBackward0>)","tensor(1.3542, grad_fn=<UnbindBackward0>)","tensor(1.3495, grad_fn=<UnbindBackward0>)","tensor(1.3444, grad_fn=<UnbindBackward0>)","tensor(1.3433, grad_fn=<UnbindBackward0>)","tensor(1.3434, grad_fn=<UnbindBackward0>)","tensor(1.3440, grad_fn=<UnbindBackward0>)","tensor(1.3449, grad_fn=<UnbindBackward0>)","tensor(1.3459, grad_fn=<UnbindBackward0>)","tensor(1.3466, grad_fn=<UnbindBackward0>)","tensor(1.3465, grad_fn=<UnbindBackward0>)","tensor(1.3456, grad_fn=<UnbindBackward0>)","tensor(1.3436, grad_fn=<UnbindBackward0>)","tensor(1.3404, grad_fn=<UnbindBackward0>)","tensor(1.3362, grad_fn=<UnbindBackward0>)","tensor(1.3310, grad_fn=<UnbindBackward0>)","tensor(1.3250, grad_fn=<UnbindBackward0>)","tensor(1.3179, grad_fn=<UnbindBackward0>)","tensor(1.3097, grad_fn=<UnbindBackward0>)","tensor(1.3017, grad_fn=<UnbindBackward0>)","tensor(1.3018, grad_fn=<UnbindBackward0>)","tensor(1.3082, grad_fn=<UnbindBackward0>)","tensor(1.3265, grad_fn=<UnbindBackward0>)","tensor(1.3257, grad_fn=<UnbindBackward0>)","tensor(1.3033, grad_fn=<UnbindBackward0>)","tensor(1.2993, grad_fn=<UnbindBackward0>)","tensor(1.3037, grad_fn=<UnbindBackward0>)","tensor(1.3131, grad_fn=<UnbindBackward0>)","tensor(1.3156, grad_fn=<UnbindBackward0>)","tensor(1.3060, grad_fn=<UnbindBackward0>)","tensor(1.2845, grad_fn=<UnbindBackward0>)","tensor(1.2547, grad_fn=<UnbindBackward0>)","tensor(1.2566, grad_fn=<UnbindBackward0>)","tensor(1.2476, grad_fn=<UnbindBackward0>)","tensor(1.2927, grad_fn=<UnbindBackward0>)","tensor(1.3196, grad_fn=<UnbindBackward0>)","tensor(1.3289, grad_fn=<UnbindBackward0>)","tensor(1.3413, grad_fn=<UnbindBackward0>)","tensor(1.3630, grad_fn=<UnbindBackward0>)","tensor(1.3764, grad_fn=<UnbindBackward0>)","tensor(1.3814, grad_fn=<UnbindBackward0>)","tensor(1.3842, grad_fn=<UnbindBackward0>)","tensor(1.3857, grad_fn=<UnbindBackward0>)","tensor(1.3860, grad_fn=<UnbindBackward0>)","tensor(1.3851, grad_fn=<UnbindBackward0>)","tensor(1.3833, grad_fn=<UnbindBackward0>)","tensor(1.3809, grad_fn=<UnbindBackward0>)","tensor(1.3781, grad_fn=<UnbindBackward0>)","tensor(1.3753, grad_fn=<UnbindBackward0>)","tensor(1.3726, grad_fn=<UnbindBackward0>)","tensor(1.3703, grad_fn=<UnbindBackward0>)","tensor(1.3685, grad_fn=<UnbindBackward0>)","tensor(1.3677, grad_fn=<UnbindBackward0>)","tensor(1.3687, grad_fn=<UnbindBackward0>)"
